Timestamp,Zone,Device,PPM,VOC
{"time": "2021-12-02 10:24:59.641344", "Z1": "Zone1", "T2": {"ppm": 0, "voc": 0}}
2021-12-02 11:19:45.720054,Zone1,T2,454,8
2021-12-02 11:20:16.002179,Zone1,T2,460,9
