Timestamp,Zone,Device,PPM,VOC
{"time": "2021-12-02 10:24:59.641344", "Z1": "Zone1", "T1": {"ppm": 497, "voc": 14}}
2021-12-02 11:19:45.720054,Zone1,T1,659,39
2021-12-02 11:20:16.002179,Zone1,T1,638,36
