Date,Time,Zone,Device,PPM,VOC
12/04/2021,02:28,Zone2,T1,529,19
12/04/2021,02:28,Zone2,T2,436,5
12/04/2021,02:29,Zone1,T1,733,50
12/04/2021,02:29,Zone1,T2,752,53
12/04/2021,02:30,Zone1,T1,672,41
12/04/2021,02:30,Zone1,T2,657,39
12/04/2021,02:30,Zone2,T1,518,17
12/04/2021,02:30,Zone2,T2,483,12
12/04/2021,02:31,Zone1,T1,712,47
12/04/2021,02:31,Zone1,T2,712,47
12/04/2021,02:31,Zone2,T1,505,15
12/04/2021,02:31,Zone2,T2,496,14
12/04/2021,02:32,Zone1,T1,686,43
12/04/2021,02:32,Zone1,T2,656,39
12/04/2021,02:32,Zone2,T1,505,15
12/04/2021,02:32,Zone2,T2,486,13
12/04/2021,02:34,Zone1,T1,1498,170
12/04/2021,02:34,Zone1,T2,885,73
12/04/2021,02:34,Zone2,T1,500,15
12/04/2021,02:34,Zone2,T2,434,5
12/04/2021,02:35,Zone1,T1,1504,174
12/04/2021,02:35,Zone1,T2,1074,102
12/04/2021,02:35,Zone2,T1,519,18
12/04/2021,02:35,Zone2,T2,444,6
12/04/2021,02:37,Zone1,T1,1012,93
12/04/2021,02:37,Zone1,T2,870,71
12/04/2021,02:37,Zone2,T1,483,12
12/04/2021,02:37,Zone2,T2,505,15
12/04/2021,02:38,Zone1,T1,1562,216
12/04/2021,02:38,Zone1,T2,1207,122
12/04/2021,02:38,Zone2,T1,483,12
12/04/2021,02:38,Zone2,T2,422,3
12/04/2021,02:39,Zone1,T1,1090,105
12/04/2021,02:39,Zone1,T2,975,87
12/04/2021,02:39,Zone2,T1,503,15
12/04/2021,02:39,Zone2,T2,507,16
12/04/2021,02:40,Zone1,T1,956,84
12/04/2021,02:40,Zone1,T2,909,77
12/04/2021,02:40,Zone2,T1,445,6
12/04/2021,02:40,Zone2,T2,438,5
12/04/2021,02:41,Zone1,T1,954,84
12/04/2021,02:41,Zone1,T2,827,65
12/04/2021,02:41,Zone2,T1,473,11
12/04/2021,02:41,Zone2,T2,425,3
12/04/2021,02:42,Zone1,T1,872,71
12/04/2021,02:42,Zone1,T2,768,56
12/04/2021,02:43,Zone1,T1,880,73
12/04/2021,02:43,Zone1,T2,765,55
12/04/2021,02:44,Zone1,T1,863,70
12/04/2021,02:44,Zone1,T2,795,60
12/04/2021,02:44,Zone2,T1,461,9
12/04/2021,02:44,Zone2,T2,428,4
12/04/2021,02:45,Zone1,T1,817,63
12/04/2021,02:45,Zone1,T2,732,50
12/04/2021,02:45,Zone2,T1,492,14
12/04/2021,02:45,Zone2,T2,519,18
12/04/2021,02:46,Zone1,T1,844,67
12/04/2021,02:46,Zone1,T2,780,57
12/04/2021,02:46,Zone2,T1,508,16
12/04/2021,02:46,Zone2,T2,453,8
12/04/2021,02:47,Zone1,T1,1053,99
12/04/2021,02:47,Zone1,T2,992,90
12/04/2021,02:48,Zone1,T1,694,44
12/04/2021,02:48,Zone1,T2,730,50
12/04/2021,02:48,Zone2,T1,556,23
12/04/2021,02:48,Zone2,T2,457,8
12/04/2021,02:49,Zone1,T1,810,62
12/04/2021,02:49,Zone1,T2,717,48
12/04/2021,02:49,Zone2,T1,476,11
12/04/2021,02:49,Zone2,T2,414,2
12/04/2021,02:51,Zone1,T1,699,45
12/04/2021,02:51,Zone1,T2,666,40
12/04/2021,02:51,Zone2,T1,485,12
12/04/2021,02:51,Zone2,T2,457,8
12/04/2021,02:52,Zone1,T1,699,45
12/04/2021,02:52,Zone1,T2,671,41
12/04/2021,02:52,Zone2,T1,439,5
12/04/2021,02:52,Zone2,T2,502,15
12/04/2021,02:53,Zone1,T1,749,53
12/04/2021,02:53,Zone1,T2,697,45
12/04/2021,02:53,Zone2,T1,420,3
12/04/2021,02:53,Zone2,T2,407,1
12/04/2021,02:54,Zone1,T1,754,53
12/04/2021,02:54,Zone1,T2,650,38
12/04/2021,02:54,Zone2,T1,475,11
12/04/2021,02:54,Zone2,T2,477,11
12/04/2021,02:55,Zone1,T1,774,56
12/04/2021,02:55,Zone1,T2,682,42
12/04/2021,02:55,Zone2,T1,508,16
12/04/2021,02:55,Zone2,T2,434,5
